,state,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,customer_service_calls,churn,total_charge
55,IN,81,0,0,0,175.5,67,249.3,85,270.2,98,10.2,3,1,0,65.94
56,CO,141,0,0,0,126.9,98,180.0,62,140.8,128,8.0,2,1,0,45.370000000000005
57,CO,121,0,1,30,198.4,129,75.3,77,181.2,77,5.8,3,3,1,49.849999999999994
58,WI,68,0,0,0,148.8,70,246.5,164,129.8,103,12.1,3,3,0,55.36000000000001
59,OK,125,0,0,0,229.3,103,177.4,126,189.3,95,12.0,8,1,0,65.82
60,ID,174,0,0,0,192.1,97,169.9,94,166.6,54,11.4,4,1,0,57.67999999999999
61,CA,116,0,1,34,268.6,83,178.2,142,166.3,106,11.6,3,2,0,71.41999999999999
62,MN,74,0,1,33,193.7,91,246.1,96,138.0,92,14.6,3,2,0,64.0
63,SD,149,0,1,28,180.7,92,187.8,64,265.5,53,12.6,3,3,0,62.029999999999994
64,NC,38,0,0,0,131.2,98,162.9,97,159.0,106,8.2,6,2,0,45.51
65,WA,40,0,1,41,148.1,74,169.5,88,214.1,102,6.2,5,2,0,50.89000000000001
66,WY,43,1,0,0,251.5,105,212.8,104,157.8,67,9.3,4,0,0,70.46
67,MN,113,1,0,0,125.2,93,206.4,119,129.3,139,8.3,8,0,0,46.88
68,UT,126,0,0,0,211.6,70,216.9,80,153.5,60,7.8,1,1,0,63.42999999999999
69,TX,150,0,0,0,178.9,101,169.1,110,148.6,100,13.8,3,4,1,55.199999999999996
70,NJ,138,0,0,0,241.8,93,170.5,83,295.3,104,11.8,7,3,0,72.08
71,MN,162,0,1,46,224.9,97,188.2,84,254.6,61,12.1,2,0,0,68.96
72,NM,147,0,0,0,248.6,83,148.9,85,172.5,109,8.0,4,3,0,64.84
73,NV,90,0,0,0,203.4,146,226.7,117,152.4,105,7.3,4,1,0,62.67999999999999
74,HI,85,0,0,0,235.8,109,157.2,94,188.2,99,12.0,3,0,0,65.16
75,MN,50,0,0,0,157.1,90,223.3,72,181.4,111,6.1,2,1,0,55.49999999999999
76,DC,82,0,0,0,300.3,109,181.0,100,270.1,73,11.7,4,0,1,81.75
77,NY,144,0,0,0,61.6,117,77.1,85,173.0,99,8.2,7,4,1,27.02
78,MN,46,0,0,0,214.1,72,164.4,104,177.5,113,8.2,3,2,0,60.57
79,MD,70,0,0,0,170.2,98,155.2,102,228.6,76,15.0,2,1,0,56.459999999999994
80,WV,144,0,0,0,201.1,99,303.5,74,224.0,119,13.2,2,1,0,73.63
81,OR,116,1,0,0,215.4,104,204.8,79,278.5,109,12.6,5,3,0,69.96000000000001
82,CO,55,0,1,25,165.6,123,136.1,95,175.7,90,11.0,2,3,0,50.599999999999994
83,GA,70,0,1,24,249.5,101,259.7,98,222.7,68,9.8,4,1,0,77.16000000000001
84,TX,106,0,0,0,210.6,96,249.2,85,191.4,88,12.4,1,2,1,68.94
85,VT,128,0,1,29,179.3,104,225.9,86,323.0,78,8.6,7,0,0,66.53999999999999
86,IN,94,0,0,0,157.9,105,155.0,101,189.6,84,8.0,5,4,1,50.709999999999994
87,WV,111,0,0,0,214.3,118,208.5,76,182.4,98,12.0,2,1,0,65.6
88,KY,74,0,1,35,154.1,104,123.4,84,202.1,57,10.9,9,2,0,48.72
89,NJ,128,0,0,0,237.9,125,247.6,93,208.9,68,13.9,4,1,1,74.64
90,DC,82,0,0,0,143.9,61,194.9,105,109.6,94,11.1,2,1,0,48.96
91,LA,155,0,0,0,203.4,100,190.9,104,196.0,119,8.9,4,0,1,62.03
92,AR,80,0,0,0,124.3,100,173.0,107,253.2,62,7.9,9,1,0,49.36000000000001
93,ME,78,0,0,0,252.9,93,178.4,112,263.9,105,9.5,7,3,0,72.6
94,AZ,90,0,0,0,179.1,71,190.6,81,127.7,91,10.6,7,3,0,55.26
95,AK,104,0,0,0,278.4,106,81.0,113,163.2,137,9.8,5,1,0,64.21000000000001
96,MT,73,0,0,0,160.1,110,213.3,72,174.1,72,13.0,4,0,0,56.68999999999999
97,AZ,99,0,0,0,198.2,87,207.3,76,190.9,113,8.7,3,4,0,62.25000000000001
98,MS,120,0,0,0,212.1,131,209.4,104,167.2,96,5.3,5,1,1,62.809999999999995
99,ID,77,0,0,0,251.8,72,205.7,126,275.2,109,9.8,7,2,1,75.32000000000001
100,IA,98,0,1,21,161.2,114,252.2,83,160.2,92,4.4,8,4,0,57.24
101,MA,108,0,0,0,178.3,137,189.0,76,129.1,102,14.6,5,0,0,56.129999999999995
102,VT,135,0,0,0,151.7,82,119.0,105,180.0,100,10.5,6,0,0,46.849999999999994
103,KY,95,0,0,0,135.0,99,183.6,106,245.3,102,12.5,9,1,0,52.980000000000004
104,IN,122,0,0,0,170.5,94,173.7,109,248.6,75,11.3,2,1,0,57.989999999999995
105,AZ,95,0,0,0,238.1,65,187.2,98,190.0,115,11.8,4,4,0,68.13
106,MI,36,0,1,29,281.4,102,202.2,76,187.2,113,9.0,6,2,0,75.88000000000001
107,NM,93,0,1,21,117.9,131,164.5,115,217.0,86,9.8,3,1,0,46.42999999999999
108,CO,141,0,1,32,148.6,91,131.1,97,219.4,142,10.1,1,1,0,49.0
109,UT,157,0,0,0,229.8,90,147.9,121,241.4,108,9.6,7,3,0,65.09
110,MI,120,0,0,0,165.0,100,317.2,83,119.2,86,8.3,8,1,0,62.61000000000001
111,MA,103,0,0,0,185.0,117,223.3,94,222.8,91,12.6,2,2,0,63.86
112,AL,98,0,0,0,161.0,117,190.9,113,227.7,113,12.1,4,4,0,57.120000000000005
113,DE,125,0,0,0,126.7,108,206.0,90,247.8,114,13.3,7,1,0,53.78999999999999
114,AZ,63,0,0,0,58.9,125,169.6,59,211.4,88,9.4,3,1,0,36.48
115,ME,36,1,1,42,196.8,89,254.9,122,138.3,126,20.0,6,0,1,66.75
116,NJ,64,0,0,0,162.6,83,152.3,109,57.5,122,14.2,3,1,0,47.010000000000005
117,NV,74,0,0,0,282.5,114,219.9,48,170.0,115,9.4,4,1,1,76.91000000000001
118,MO,112,0,1,36,113.7,117,157.5,82,177.6,118,10.0,3,2,0,43.410000000000004
119,ID,97,0,0,0,239.8,125,214.8,111,143.3,81,8.7,5,2,0,67.83
120,NE,46,0,0,0,210.2,92,227.3,77,200.1,116,13.1,7,1,0,67.59
121,TX,41,0,1,22,213.8,102,141.8,86,142.2,123,7.2,3,0,0,56.74
122,MD,121,0,0,0,190.7,103,183.5,117,220.8,103,9.8,4,3,0,60.61
123,MS,193,0,0,0,170.9,124,132.3,95,112.9,89,11.6,3,1,0,48.51
124,NV,130,0,0,0,154.2,119,110.2,98,227.4,117,9.2,5,2,0,48.29
125,AZ,85,0,0,0,201.4,52,229.4,104,252.5,106,12.0,3,1,0,68.33999999999999
126,MS,162,0,0,0,70.7,108,157.5,87,154.8,82,9.1,3,4,1,34.84
127,MS,61,0,1,27,187.5,124,146.6,103,225.7,129,6.4,6,4,1,56.23
128,TX,92,0,0,0,91.7,90,193.7,123,175.0,86,9.2,4,2,0,42.41
129,NE,131,0,1,36,214.2,115,161.7,117,264.7,102,9.5,4,3,0,64.63
130,NE,90,0,0,0,145.5,92,217.7,114,146.9,123,10.9,2,3,0,52.78999999999999
131,CA,75,0,0,0,166.3,125,158.2,86,256.7,80,6.1,5,1,0,54.919999999999995
132,NJ,78,0,0,0,231.0,115,230.4,140,261.4,120,9.5,3,1,0,73.17999999999999
133,TX,82,0,0,0,200.3,96,201.2,102,206.1,60,7.1,1,4,0,62.34
134,AR,163,0,0,0,197.0,109,202.6,128,206.4,80,9.1,10,1,0,62.46
135,AL,91,1,0,0,129.9,112,173.3,83,247.2,130,11.2,3,3,0,50.95
136,NY,75,0,1,21,175.8,97,217.5,106,237.5,134,5.3,4,5,0,60.49999999999999
137,FL,91,0,0,0,203.1,106,210.1,113,195.6,129,12.0,3,3,0,64.42999999999999
138,AK,127,0,1,36,183.2,117,126.8,76,263.3,71,11.2,8,1,0,56.790000000000006
139,NV,113,0,1,23,205.0,101,152.0,60,158.6,59,10.2,5,2,0,57.660000000000004
140,DE,110,0,0,0,148.5,115,276.4,84,193.6,112,12.4,3,1,0,60.8
141,MD,120,0,1,39,200.3,68,220.4,97,253.8,116,10.5,4,0,0,67.04
142,MI,157,0,1,28,192.6,107,195.5,74,109.7,139,6.8,5,3,0,56.14
143,VT,103,0,0,0,246.5,47,195.5,84,200.5,96,11.7,4,1,0,70.71
144,VT,117,1,0,0,167.1,86,177.5,87,249.4,132,14.1,7,2,1,58.53
145,MI,140,0,0,0,231.9,101,160.1,94,110.4,98,14.3,6,3,0,61.86
146,WA,127,0,0,0,146.7,91,203.5,78,203.4,110,13.7,3,1,0,55.09
147,UT,83,1,0,0,271.5,87,216.3,126,121.1,105,11.7,4,1,0,73.16
148,LA,121,0,0,0,181.5,121,218.4,98,161.6,103,8.5,5,1,0,58.989999999999995
149,RI,145,0,1,43,257.7,97,162.1,95,286.9,86,11.1,4,2,0,73.5
150,IA,113,0,0,0,193.8,99,221.4,125,172.3,67,10.6,6,1,0,62.38
151,NE,117,0,0,0,102.8,119,206.7,91,299.0,105,10.1,7,1,0,51.239999999999995
152,OH,65,0,0,0,187.9,116,157.6,117,227.3,86,7.5,6,1,0,57.60000000000001
153,RI,56,0,0,0,226.0,112,248.5,118,140.5,142,6.9,11,1,0,67.72000000000001
154,OK,96,0,0,0,260.4,115,146.0,46,269.5,87,11.5,4,5,0,71.92
155,LA,151,0,0,0,178.7,116,292.1,138,265.9,101,9.8,4,0,0,69.83
156,OH,83,0,0,0,337.4,120,227.4,116,153.9,114,15.8,7,0,1,87.89
157,VA,139,0,1,23,157.6,129,247.0,96,259.2,112,13.7,2,0,0,63.150000000000006
158,MO,6,0,0,0,183.6,117,256.7,72,178.6,79,10.2,2,1,0,63.82
159,FL,115,0,1,24,142.1,124,183.4,129,164.8,114,9.6,4,1,0,49.760000000000005
160,SC,87,0,0,0,136.3,97,172.2,108,137.5,101,7.1,5,0,0,45.92
161,VA,141,0,0,0,217.1,110,241.5,111,253.5,103,12.0,6,0,0,72.08999999999999
162,IA,141,0,1,36,187.5,99,241.4,116,229.5,105,10.5,5,3,0,65.57
163,MI,62,0,0,0,98.9,103,135.4,122,236.6,82,12.2,1,1,0,42.26
164,OK,146,0,0,0,206.3,151,148.6,89,167.2,91,6.1,3,1,0,56.87
165,DE,92,0,1,33,243.1,92,213.8,92,228.7,104,12.1,2,2,0,73.05999999999999
166,GA,185,0,1,31,189.8,126,163.3,133,264.8,126,7.5,3,1,0,60.10000000000001
167,DC,148,0,0,0,202.0,102,243.2,128,261.3,90,10.9,3,1,0,69.71000000000001
168,AZ,94,0,1,38,170.1,124,193.3,116,105.9,73,12.8,4,1,0,53.580000000000005
169,AL,32,0,0,0,230.9,87,187.4,90,154.0,53,6.3,2,0,0,63.81
170,CO,68,0,0,0,237.1,105,223.5,105,97.4,79,13.2,2,1,0,67.25
171,NH,64,0,1,27,182.1,91,169.7,98,164.7,86,10.6,5,2,0,55.650000000000006
172,NM,25,0,0,0,119.3,87,211.5,101,268.9,86,10.5,4,3,0,53.2
173,OR,65,0,0,0,116.8,87,178.9,93,182.4,150,14.1,2,1,0,47.09
174,LA,179,0,0,0,219.2,92,149.4,125,244.7,104,6.1,5,0,0,62.61999999999999
175,NE,94,0,0,0,252.6,104,169.0,125,170.9,106,11.1,7,2,0,68.0
176,MN,62,0,0,0,147.1,91,190.4,107,195.2,115,12.2,3,0,0,53.26
177,MI,127,0,0,0,202.1,103,229.4,86,195.2,113,11.5,3,2,0,65.75
178,AR,116,0,0,0,173.5,93,194.1,76,208.0,112,16.2,10,3,0,59.73
179,KS,70,0,0,0,232.1,122,292.3,112,201.2,112,0.0,0,3,0,73.36
180,WV,94,1,1,23,197.1,125,214.5,136,282.2,103,9.5,5,4,0,67.00999999999999
181,AK,126,0,0,0,58.2,94,138.7,118,136.8,91,11.9,1,5,1,31.05
182,NY,67,0,1,36,115.6,111,237.7,94,169.9,103,9.9,12,2,0,50.169999999999995
183,NH,19,0,0,0,186.1,98,254.3,57,214.0,127,14.6,7,2,0,66.83000000000001
184,VA,170,1,0,0,259.9,68,245.0,122,134.4,121,8.4,3,3,0,73.32999999999998
185,NM,73,0,0,0,214.3,145,268.5,135,241.2,92,10.8,13,1,0,73.02
186,NY,106,0,0,0,158.7,74,64.3,139,198.5,103,10.2,4,1,0,44.13
187,AZ,93,0,0,0,271.6,71,229.4,108,77.3,121,10.9,3,2,0,72.09
188,WY,164,0,0,0,160.6,111,163.2,126,187.1,112,9.0,3,1,0,52.02
189,WA,51,0,0,0,232.4,109,187.4,95,231.2,107,9.1,3,1,0,68.3
190,CO,107,0,0,0,133.8,85,180.5,94,112.2,115,8.9,4,0,0,45.54
191,TX,130,0,0,0,176.9,109,90.7,104,238.0,69,9.5,2,1,0,51.06
192,KY,80,0,0,0,209.9,74,195.1,77,208.2,119,8.8,4,2,0,64.00999999999999
193,MT,94,0,0,0,137.5,118,203.2,88,150.0,131,13.4,2,0,0,51.019999999999996
194,OK,118,0,1,23,289.5,52,166.6,111,119.1,88,9.5,4,1,0,71.30999999999999
195,MD,117,0,1,23,198.1,86,177.0,86,180.5,92,6.8,6,1,0,58.690000000000005
196,TN,78,0,0,0,149.7,119,182.2,115,261.5,126,9.7,8,0,0,55.32999999999999
197,TX,208,0,0,0,326.5,67,176.3,113,181.7,102,10.7,6,2,1,81.57000000000001
198,ME,131,1,1,26,292.9,101,199.7,97,255.3,127,13.8,7,4,1,81.97999999999999
199,DC,63,0,0,0,83.0,64,177.0,106,245.7,89,13.0,3,0,0,43.73
200,MN,53,0,1,24,145.7,146,220.5,136,249.9,96,13.1,5,3,0,58.3
201,DE,62,0,0,0,182.3,101,328.2,93,245.0,131,11.2,1,2,0,72.94
202,MD,97,0,0,0,218.0,86,184.0,94,240.5,110,6.4,8,3,0,65.25
203,MI,105,0,0,0,140.6,109,178.6,51,217.0,83,6.8,3,2,0,50.68
204,WA,157,0,0,0,152.7,105,257.5,80,198.1,93,9.4,4,1,0,59.300000000000004
205,MO,66,0,1,36,106.7,76,209.8,77,190.4,117,12.1,2,1,0,47.81
206,IN,122,0,0,0,243.8,98,83.9,72,179.8,84,13.7,8,2,0,60.370000000000005
207,OR,38,0,0,0,194.4,94,186.7,95,223.3,90,10.8,5,3,0,61.89
208,MD,106,0,0,0,213.9,95,151.9,70,260.1,124,12.2,5,3,0,64.26
209,RI,99,0,0,0,217.2,112,246.7,89,226.1,89,15.8,7,3,0,72.33
210,LA,99,0,0,0,241.1,72,155.6,98,188.2,109,11.6,10,1,0,65.82
211,AZ,144,1,0,0,203.5,100,247.6,103,194.3,94,11.9,11,0,0,67.6
212,PA,82,0,1,24,155.2,131,244.5,106,122.4,68,10.7,3,1,0,55.559999999999995
213,AZ,86,0,1,31,167.6,139,113.0,118,246.9,121,12.2,6,1,0,52.49999999999999
214,FL,70,1,0,0,226.7,98,228.1,115,73.2,93,17.6,4,2,1,65.97
215,LA,93,0,0,0,179.3,93,178.6,98,225.2,131,11.5,6,3,0,58.9
216,FL,93,0,0,0,151.4,89,186.4,76,172.5,120,10.9,3,0,0,52.279999999999994
217,FL,120,0,0,0,180.0,80,224.2,82,265.4,91,4.7,7,3,0,62.87
218,MD,136,0,0,0,250.2,121,267.1,118,151.0,114,13.0,2,1,1,75.54
219,AL,106,0,0,0,223.0,121,110.1,98,188.7,107,7.1,12,0,0,57.68
220,WA,81,0,0,0,183.6,116,152.6,98,212.2,99,12.2,6,3,0,57.02
221,TN,127,0,1,22,166.0,114,174.5,103,244.9,68,10.2,6,1,0,56.81999999999999
222,MS,65,0,0,0,136.1,112,272.9,96,220.2,104,4.4,2,1,0,57.44
223,ME,35,0,0,0,149.3,113,242.2,122,174.3,104,8.9,6,2,0,56.21
224,OK,88,0,0,0,65.4,97,168.2,76,236.0,113,13.8,1,2,0,39.769999999999996
225,IN,65,0,0,0,213.4,111,234.5,94,250.1,123,2.7,4,1,0,68.19000000000001
226,MO,123,0,0,0,206.9,85,244.7,78,221.5,136,7.7,2,3,0,68.02
227,IA,126,0,1,27,186.2,78,189.6,83,76.5,139,9.6,3,2,0,53.8
228,VA,104,0,1,23,280.2,136,220.5,92,136.9,102,13.3,3,4,0,76.12
229,KY,45,0,1,22,196.6,84,313.2,92,163.3,108,11.9,3,0,0,70.6
230,MD,93,1,0,0,312.0,109,129.4,100,217.6,74,10.5,2,0,1,76.66999999999999
231,OH,63,1,1,36,199.0,110,291.3,111,197.6,92,11.0,6,1,0,70.45
232,OK,100,0,0,0,203.1,96,217.0,126,180.9,122,13.5,2,3,0,64.77000000000001
233,NV,53,0,0,0,168.8,97,220.3,87,154.3,113,10.9,2,0,0,57.309999999999995
234,ID,92,1,0,0,173.1,140,240.3,105,233.2,117,9.0,5,1,0,62.78
235,MN,139,0,0,0,134.4,106,211.3,98,193.6,125,10.2,2,5,1,52.27
236,SD,110,0,1,40,202.6,103,118.8,128,234.9,98,9.0,9,2,0,57.54
237,IL,110,0,0,0,74.5,117,200.8,98,192.2,101,9.8,7,3,0,41.04
238,WY,215,0,0,0,83.6,148,120.9,91,226.6,110,10.7,9,0,0,37.58
239,AL,73,0,0,0,192.2,86,168.6,116,139.8,87,9.4,6,1,0,55.83
240,NJ,138,0,0,0,220.2,89,88.3,125,195.3,79,12.9,5,0,0,57.209999999999994
241,NV,137,1,0,0,135.1,95,134.1,102,223.1,81,12.3,2,2,1,47.73
242,IN,36,0,0,0,253.4,77,182.4,151,275.8,103,8.4,2,1,0,73.25999999999999
243,WV,85,0,0,0,225.0,81,176.9,63,194.3,110,7.1,2,3,0,63.95
244,VA,108,0,0,0,198.5,99,267.8,60,354.9,75,9.4,3,0,1,75.02000000000001
245,SC,22,0,0,0,110.3,107,166.5,93,202.3,96,9.5,5,0,0,44.57
246,RI,107,0,1,37,60.0,102,102.2,80,261.8,106,11.1,3,0,0,33.67
247,IN,51,0,0,0,214.8,94,149.7,58,283.4,66,10.2,5,0,0,64.74000000000001
248,AZ,94,0,0,0,181.8,85,202.4,98,245.9,97,9.2,2,4,0,61.66
249,NM,119,0,1,23,154.0,114,278.0,137,228.4,112,11.8,4,2,0,63.28
250,OR,33,0,1,29,157.4,99,117.9,80,279.2,79,13.9,11,4,1,53.09
251,NJ,106,0,0,0,207.9,91,172.0,109,191.8,143,14.4,7,4,0,62.480000000000004
252,MS,82,0,0,0,207.0,90,232.9,83,172.4,108,9.1,8,3,0,65.21
253,MI,86,0,1,41,119.0,101,230.0,134,236.9,58,9.5,3,0,0,53.01
254,TX,97,1,0,0,143.7,117,273.0,82,178.3,81,10.9,3,0,0,58.599999999999994
255,FL,106,0,1,32,165.9,126,216.5,93,173.1,86,14.1,8,4,0,58.199999999999996
256,DC,108,0,0,0,138.6,122,172.3,117,231.6,92,9.8,3,1,0,51.28
257,TX,114,0,0,0,84.7,118,249.9,86,193.4,95,14.5,8,1,0,48.260000000000005
258,KS,92,1,0,0,62.6,111,180.6,126,221.7,80,10.4,2,1,1,38.78
259,UT,59,0,0,0,155.2,79,235.3,123,169.4,80,8.7,4,1,0,56.349999999999994
260,MN,24,0,1,25,164.9,110,209.3,105,231.2,55,6.7,9,1,0,58.03
261,IL,151,0,0,0,134.5,88,143.1,112,223.9,61,15.4,1,1,0,49.269999999999996
262,NM,117,0,0,0,143.3,103,211.3,108,185.2,96,11.5,3,1,0,53.76
263,SC,78,0,0,0,168.3,110,221.2,73,241.0,136,12.5,1,1,0,61.64
264,NC,155,0,0,0,262.4,55,194.6,113,146.5,85,8.3,6,2,0,69.97999999999999
265,WV,114,0,1,30,206.2,79,260.0,91,291.6,83,11.4,6,1,0,73.35
266,RI,114,0,1,28,225.8,94,193.0,117,232.4,100,8.4,9,4,0,67.52999999999999
267,NH,119,0,0,0,138.3,89,170.5,78,263.9,98,13.5,6,3,0,53.53
268,MO,64,0,1,48,94.4,104,136.2,101,147.4,89,4.5,4,0,0,35.480000000000004
269,MA,118,1,0,0,160.0,123,175.4,96,184.8,99,9.9,3,2,0,53.1
270,PA,101,0,0,0,206.6,105,224.9,117,249.9,100,14.6,3,0,0,69.42999999999999
271,OK,117,0,0,0,134.7,121,180.0,83,200.9,104,7.7,3,1,0,49.32
272,AL,49,0,1,28,214.4,78,235.2,100,206.2,107,8.0,13,3,0,67.88
273,WY,139,0,0,0,192.8,104,234.4,96,203.2,101,13.0,3,3,0,65.35000000000001
274,PA,92,0,1,28,151.1,90,194.8,79,239.2,114,10.0,3,1,0,55.71
275,WA,83,0,0,0,221.4,103,231.8,103,122.5,100,9.8,5,3,0,65.5
276,HI,148,1,0,0,218.9,88,208.0,85,203.3,99,11.1,4,0,0,67.04
277,SD,144,0,1,48,189.8,96,123.4,67,214.2,106,6.5,2,2,1,54.160000000000004
278,AL,131,0,1,25,192.7,85,225.9,105,254.2,59,10.9,6,2,0,66.33999999999999
279,VT,146,1,0,0,204.4,135,219.1,90,222.7,114,10.5,6,3,0,66.23
280,MT,143,0,0,0,172.3,97,174.0,108,188.2,119,13.0,4,2,0,56.059999999999995
281,MN,81,0,0,0,198.4,93,210.9,108,193.3,71,10.4,6,2,0,63.17
282,AK,48,0,1,37,211.7,115,159.9,84,144.1,80,12.2,1,1,0,59.35
283,MI,86,0,1,28,221.6,74,288.4,100,240.3,105,9.0,2,1,0,75.42000000000002
284,DE,71,0,0,0,197.9,108,181.5,109,281.4,56,6.7,5,3,0,63.540000000000006
285,SD,145,0,1,24,147.5,90,175.7,108,252.1,102,15.6,3,2,0,55.559999999999995
286,MI,137,0,0,0,206.4,122,128.0,102,194.5,84,8.8,5,2,0,57.10000000000001
287,KS,137,0,0,0,205.9,88,209.3,86,289.9,84,14.5,4,2,0,69.76
288,AL,167,0,0,0,207.6,88,132.4,63,255.2,98,14.1,5,0,0,61.83
289,OK,89,0,0,0,303.9,95,260.9,114,312.1,89,5.3,3,1,1,89.31
290,CT,199,0,1,34,230.6,121,219.4,99,299.3,94,8.0,2,0,0,73.48
291,NE,132,0,0,0,99.5,110,129.1,80,125.1,124,9.7,3,0,0,36.14
292,WI,94,0,0,0,177.1,112,194.0,112,146.7,108,5.9,4,1,0,54.79
293,CT,96,0,1,37,172.7,93,120.1,116,216.1,86,10.3,5,5,1,52.07
294,WI,96,0,1,18,172.7,86,133.4,113,259.5,70,9.8,3,1,0,55.03
